"","year","wgr","masters_finish","total_score","ranking","top_10","wins","score_average","rounds","bounce_back","driving_accuracy","driving_distance","par5_SA","gir","hole_proximity","putts_round","scramble","sg_putt","sg_t2g","sg_total","points_gained","m_cut","top_25","new_score","m_play"
"207",2012,54,25,290,177,1,0,70.561,61,20.86,57.98,287.4,4.73,61.85,2045.167,29.1,57.52,-0.145,0.254,0.109,0,"1","1",290,"1"
"208",2011,60,99,228,28,6,1,69.875,93,20.32,58.07,310.5,4.63,69.41,3468.417,29.69,58.2,-0.116,1.157,1.041,13.748,"0","0",388,"0"
"209",2013,48,26,292,36,2,1,70.733,94,19.55,57.6,303.8,4.67,66.98,4388.417,29.34,54.58,0.062,0.397,0.459,31.374,"1","0",292,"1"
"210",2014,46,99,147,47,5,0,70.249,93,21.67,59.49,304.1,4.67,66.55,4028.417,29.1,60.11,-0.149,1.049,0.9,25.651,"0","0",307,"1"
"211",2016,36,99,155,23,4,0,70.234,95,21.52,56.69,306.1,4.55,68.74,3761.417,29.26,60.16,-0.13,1.097,0.968,55.231,"0","0",315,"1"
"212",2017,32,99,154,30,5,0,70.482,94,18.41,58.9,306.9,4.6,69.35,3078.083,29.76,58.21,-0.359,1.051,0.692,79.12,"0","0",314,"1"
"213",2005,19,16,289,4,5,1,70.365,97,26.38,60.72,298,4.61,66.67,3795.083,28.85,58.06,0.124,0.416,0.54,118.28,"1","1",289,"0"
"214",2006,8,24,299,28,5,2,70.295,76,22.17,61.89,295.3,4.61,62.94,2917.75,28.93,58.89,0.473,0.451,0.806,89.43,"1","1",299,"1"
"215",2007,10,39,296,24,7,0,70.085,84,25.2,59.02,295.3,4.72,62.75,3001,28.82,56.6,0.072,0.749,0.821,90.441,"1","0",296,"1"
"216",2008,4,15,283,140,6,1,70.253,65,16.13,58.18,292.1,4.74,61.89,2344.917,28.86,59.91,0.125,0.684,0.81,131.032,"1","1",283,"1"
"217",2009,13,26,289,49,5,2,70.316,78,19.07,58.4,291.5,4.59,64.27,2895.417,28.51,59.83,0.493,0.568,1.06,56.924,"1","0",289,"1"
"218",2010,32,4,278,68,2,1,70.764,62,19.08,57.94,287,4.67,67.69,2199.167,29.22,56.16,0.37,0.364,0.735,21.379,"1","1",278,"1"
"219",2011,49,19,288,64,4,0,70.164,69,22.4,62.89,290,4.75,62.63,2613.167,28.47,59.68,0.517,0.205,0.722,11.498,"1","1",288,"1"
"220",2014,109,48,291,134,2,1,71.422,84,22.83,58.51,292.5,4.68,64.51,3849.167,29.43,55.77,-0.331,-0.032,-0.363,4.927,"1","0",291,"1"
"221",2011,15,12,286,48,3,0,70.997,50,20.42,66.31,289.5,4.63,66.08,2016.833,29.38,54.01,0.132,0.066,0.197,68.526,"1","1",286,"0"
"222",2012,17,99,149,43,4,0,70.229,55,25.75,70.11,285.5,4.75,66.26,1761.25,29.02,51.83,-0.282,0.654,0.372,44.928,"0","0",309,"1"
