"","year","player_name","ranking","top_10","wins","score_average","rounds","bounce_back","driving_accuracy","driving_distance","par5_SA","gir","hole_proximity","putts_round","scramble","sg_putt","sg_t2g","masters_finish","total_score","sg_total","wgr"
"2163",2014,"Sangmoon Bae","64",0,0,71.168,76,18.18,61.39,288.5,4.64,62.94,3444.667,28.88,57.4,0.418,-0.202,"99","149",0.216,"161"
"2164",2015,"Sangmoon Bae","111",5,1,71.036,98,21.9,60.03,289.8,4.7,62.93,5023.25,28.55,61.16,0.26,-0.201,"33","288",0.059,"84"
"2165",2018,"Satoshi Kodaira","182",1,1,72.182,51,16.15,65.53,293.6,4.78,60.3,2676.667,29.88,51.02,-0.645,-1.187,"28","288",-1.832,"48"
"2166",2012,"Scott Brown","143",3,0,71.835,65,16.67,60.22,291.2,4.65,64.5,2736.917,29.8,50.13,-0.468,-0.303,NA,NA,-0.771,"288"
"2167",2013,"Scott Brown","124",1,1,71.25,65,20.4,62.32,289.5,4.69,64.1,2708.25,29.03,55.71,-0.217,0.151,NA,NA,-0.067,"139"
"2168",2014,"Scott Brown","71",4,0,70.936,100,19.34,66.55,287.2,4.72,65,3961.917,28.78,58.73,0.211,0.134,NA,NA,0.345,"175"
"2169",2015,"Scott Brown","56",3,0,70.797,97,18.68,62.77,288.2,4.66,65.18,3869.75,28.56,60.69,-0.031,0.216,NA,NA,0.185,"228"
"2170",2016,"Scott Brown","71",4,0,71.098,88,15.83,63.65,292.5,4.75,65.03,3897.167,29.22,59.03,0.018,0.125,NA,NA,0.143,"135"
"2171",2017,"Scott Brown","96",2,0,70.932,95,20.16,63.89,289,4.7,64.35,4417.917,28.69,59.08,0.276,-0.344,NA,NA,-0.068,"117"
"2172",2018,"Scott Brown","159",2,0,71.329,102,23.34,62.03,292.6,4.72,65.65,4875.583,29.1,54.79,0.049,-0.71,NA,NA,-0.661,"150"
"2173",2012,"Scott Dunlap","159",0,0,71.653,57,15.43,64.66,281.4,4.8,67.21,2539.667,30.22,58.47,-0.688,0.089,NA,NA,-0.6,"122"
